# Time [ms], MC signal
0.223034,0.504
0.224013,0.504
0.224991,0.504
0.226022,0.506
0.227069,0.506
0.228014,0.505
0.229004,0.505
0.230051,0.505
0.231080,0.505
0.232036,0.504
0.232986,0.504
0.234037,0.504
0.235032,0.506
0.236045,0.506
0.237023,0.504
0.237989,0.506
0.239019,0.508
0.240077,0.507
0.241009,0.504
0.241984,0.506
0.243047,0.504
0.243998,0.506
0.245074,0.505
0.246013,0.505
0.246986,0.504
0.248040,0.504
0.249003,0.505
0.250070,0.505
0.251003,0.504
0.252061,0.504
0.253034,0.504
0.254008,0.506
0.255006,0.505
0.256005,0.506
0.256987,0.504
0.258033,0.504
0.259005,0.504
0.260064,0.505
0.260997,0.506
0.262040,0.505
0.263002,0.505
0.264035,0.507
0.265030,0.506
0.265988,0.504
0.267029,0.506
0.268003,0.504
0.268999,0.503
0.269985,0.504
0.271022,0.505
0.272013,0.504
0.273062,0.504
0.273996,0.505
0.275054,0.504
0.276016,0.505
0.277054,0.504
0.278020,0.503
0.278986,0.505
0.280029,0.505
0.280999,0.506
0.282018,0.504
0.282991,0.505
0.284042,0.504
0.285025,0.504
0.286016,0.506
0.287045,0.505
0.288028,0.504
0.289038,0.504
0.290004,0.505
0.290989,0.504
0.292019,0.503
0.293085,0.505
0.294020,0.504
0.294998,0.505
0.295986,0.504
0.297030,0.506
0.298013,0.504
0.299015,0.505
0.299985,0.504
0.301040,0.506
0.302013,0.506
0.303071,0.505
0.304005,0.506
0.305059,0.506
0.306038,0.504
0.307070,0.506
0.308052,0.505
0.309010,0.504
0.310059,0.505
0.311029,0.507
0.312048,0.505
0.313004,0.505
0.314042,0.504
0.315046,0.505
0.316039,0.507
0.317068,0.504
0.318027,0.506
0.319053,0.507
0.320028,0.505
0.321006,0.504
0.322020,0.506
0.322999,0.504
0.324034,0.506
0.324998,0.507
0.326071,0.507
0.327013,0.504
0.328057,0.504
0.329037,0.505
0.329987,0.505
0.331049,0.506
0.331983,0.505
0.333033,0.505
0.334005,0.507
0.335022,0.505
0.336017,0.505
0.336999,0.506
0.338052,0.506
0.339023,0.505
0.340054,0.504
0.341033,0.507
0.342035,0.504
0.343004,0.506
0.343995,0.507
0.345033,0.504
0.346044,0.507
0.347040,0.506
0.348020,0.505
0.348985,0.504
0.350017,0.504
0.351003,0.504
0.352040,0.505
0.353018,0.505
0.353983,0.505
0.355025,0.505
0.355996,0.506
0.357032,0.507
0.358037,0.506
0.359002,0.507
0.360032,0.505
0.361012,0.507
0.362014,0.507
0.362987,0.505
0.364044,0.507
0.365025,0.506
0.365996,0.507
0.367023,0.506
0.367989,0.504
0.369038,0.506
0.370077,0.505
0.371031,0.506
0.372000,0.506
0.373041,0.507
0.374013,0.505
0.375038,0.505
0.376061,0.504
0.376985,0.505
0.378033,0.507
0.379022,0.504
0.380059,0.506
0.381047,0.506
0.382059,0.508
0.383023,0.506
0.383994,0.506
0.385012,0.507
0.386037,0.507
0.386991,0.505
0.388043,0.506
0.389009,0.505
0.390014,0.506
0.391015,0.505
0.392040,0.504
0.393012,0.505
0.393986,0.505
0.395035,0.505
0.396015,0.504
0.397044,0.505
0.398000,0.505
0.399029,0.507
0.400020,0.507
0.401012,0.505
0.402010,0.506
0.402988,0.506
0.404019,0.504
0.405002,0.505
0.406013,0.506
0.407039,0.504
0.408031,0.504
0.408983,0.504
0.410026,0.504
0.410996,0.504
0.412002,0.504
0.412988,0.507
0.414019,0.506
0.414999,0.504
0.416065,0.506
0.416998,0.506
0.418055,0.505
0.419028,0.504
0.420059,0.506
0.421012,0.506
0.422058,0.505
0.423022,0.506
0.424003,0.504
0.425007,0.503
0.426002,0.503
0.427031,0.504
0.427996,0.504
0.429062,0.503
0.430006,0.506
0.430993,0.505
0.432029,0.504
0.432992,0.506
